Pathway_categories,Number,Type
Myotube differentiation,1,biological_process
Negative regulation of neural precursor cell proliferation,1,biological_process
Negative regulation of protein homooligomerization,4,biological_process
Cardiolipin binding,3,molecular_function
Cul7-ring ubiquitin ligase complex,2,cellular_component
Hydrolase activity,1,molecular_function
Midbrain development,14,biological_process
Negative regulation of potassium ion transmembrane transporter activity,1,biological_process
G-quadruplex rna binding,2,molecular_function
Hyalurononglucosaminidase activity,8,molecular_function
Exopeptidase activity,1,molecular_function
Biomineral tissue development,4,biological_process
Vocalization behavior,6,biological_process
Ubiquitin conjugating enzyme binding,10,molecular_function
Protein import into peroxisome matrix,3,biological_process
Negative regulation of appetite,2,biological_process
Multicellular organismal iron ion homeostasis,1,biological_process
Regulation of heart contraction,12,biological_process
Glycerophospholipid biosynthetic process,1,molecular_function
Positive regulation of receptor recycling,5,biological_process
Temperature homeostasis,2,biological_process
Positive regulation of mucus secretion,3,biological_process
Cell fate determination,5,biological_process
Positive regulation of histone acetylation,5,biological_process
Positive regulation of growth,5,biological_process
Decidualization,5,biological_process
Atp-activated inward rectifier potassium channel activity,4,molecular_function
Phosphatidylcholine-sterol o-acyltransferase activator activity,2,molecular_function
Oxalate transport,4,biological_process
Positive regulation of nad(p)h oxidase activity,2,biological_process
Retinal dehydrogenase activity,2,molecular_function
Histone pre-mrna 3'end processing complex,1,cellular_component
Lsm1-7-pat1 complex,2,cellular_component
Negative regulation of rig-i signaling pathway,2,biological_process
Embryonic foregut morphogenesis,2,biological_process
Regulation of cell communication by electrical coupling involved in cardiac conduction,5,biological_process
Bergmann glial cell differentiation,3,biological_process
Positive regulation of t cell activation,4,biological_process
Costamere,2,cellular_component
Nucleotide metabolic process,5,biological_process
Positive regulation of inhibitory postsynaptic potential,2,biological_process
Negative regulation of receptor internalization,3,biological_process
Gene expression,1,biological_process
Transition between fast and slow fiber,1,biological_process
Phosphatidylinositol n-acetylglucosaminyltransferase activity,3,molecular_function
Negative regulation of protein tyrosine kinase activity,3,molecular_function
Complement activation,12,biological_process
Mhc class i protein binding,5,molecular_function
Energy homeostasis,18,biological_process
Cargo loading into copii-coated vesicle,6,biological_process
Positive regulation of mitochondrial depolarization,3,biological_process
'de novo' imp biosynthetic process,3,biological_process
Plasma membrane organization,3,biological_process
Positive regulation of macrophage chemotaxis,11,biological_process
Positive regulation of defense response to virus by host,3,biological_process
Heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,10,biological_process
U6 snrnp,6,cellular_component
Mitochondrial calcium ion homeostasis,7,biological_process
Gtpase activating protein binding,6,molecular_function
Positive regulation of smooth muscle contraction,2,biological_process
Ameboidal-type cell migration,4,biological_process
Conditioned taste aversion,5,biological_process
Urate transport,2,molecular_function
Amp binding,4,molecular_function
Crossover junction endodeoxyribonuclease activity,1,molecular_function
Intraciliary transport particle b,7,cellular_component
Dna double-strand break processing involved in repair via single-strand annealing,2,biological_process
Cellular response to hepatocyte growth factor stimulus,13,biological_process
Cerebellar purkinje cell differentiation,2,biological_process
Translation repressor activity,3,molecular_function
Positive regulation of torc1 signaling,5,biological_process
Double-stranded rna adenosine deaminase activity,3,molecular_function
Bile acid binding,3,molecular_function
Positive regulation of interleukin-12 production,5,biological_process
Animal organ development,3,biological_process
Positive regulation of protein homodimerization activity,8,biological_process
Positive regulation of interleukin-1 secretion,3,biological_process
Proteasomal protein catabolic process,12,biological_process
Proteasomal protein catabolic process,12,molecular_function
Methylosome,2,cellular_component
Jun kinase binding,1,molecular_function
Negative regulation of extrinsic apoptotic signaling pathway,6,biological_process
Phosphate ion transmembrane transport,3,biological_process
Phosphate ion transmembrane transport,3,molecular_function
Polypeptide n-acetylgalactosaminyltransferase activity,4,molecular_function
Embryonic neurocranium morphogenesis,5,biological_process
Cytoplasmic side of lysosomal membrane,2,cellular_component
Spermatid nucleus differentiation,8,biological_process
Response to hormone,7,biological_process
Response to hormone,7,molecular_function
Skeletal muscle tissue development,12,biological_process
Zinc ion transmembrane transporter activity,7,molecular_function
Cell-cell junction assembly,5,biological_process
Response to stress,1,biological_process
Positive regulation of lipid catabolic process,1,biological_process
Cellular response to unfolded protein,6,biological_process
Behavioral response to nicotine,2,biological_process
Negative regulation of retinoic acid receptor signaling pathway,5,biological_process
Lipopolysaccharide receptor activity,1,molecular_function
Regulation of dopamine secretion,7,biological_process
Biosynthetic process,5,biological_process
Synaptic vesicle recycling,0,biological_process
Sympathetic nervous system development,5,biological_process
Skeletal muscle atrophy,8,biological_process
Flotillin complex,2,cellular_component
Aryl hydrocarbon receptor binding,2,molecular_function
Regulation of postsynaptic neurotransmitter receptor internalization,4,biological_process
Regulation of postsynaptic cytosolic calcium ion concentration,3,molecular_function
Anion:anion antiporter activity,9,molecular_function
Negative regulation of macrophage derived foam cell differentiation,2,biological_process
Multicellular organismal response to stress,7,biological_process
Response to inorganic substance,2,biological_process
Nadph-hemoprotein reductase activity,2,molecular_function
Cytidine deaminase activity,4,molecular_function
Gtpase inhibitor activity,3,molecular_function
Endodermal cell differentiation,9,biological_process
Nf-kappab binding,14,molecular_function
Phagosome maturation,3,biological_process
Positive regulation of trophoblast cell migration,2,biological_process
Positive regulation of ion transmembrane transporter activity,3,biological_process
Calcium ion import,7,biological_process
Snare complex,13,cellular_component
Negative regulation of ryanodine-sensitive calcium-release channel activity,7,biological_process
Glucuronosyl-n-acetylgalactosaminyl-proteoglycan 4-beta-n-acetylgalactosaminyltransferase activity,1,molecular_function
Dna demethylation,4,biological_process
Dna demethylation,4,molecular_function
Positive regulation of synaptic vesicle clustering,3,biological_process
Glial cell proliferation,4,biological_process
Clathrin heavy chain binding,1,molecular_function
Dna dealkylation involved in dna repair,9,biological_process
Unsaturated fatty acid biosynthetic process,1,biological_process
Arginine catabolic process,7,biological_process
Vesicle-mediated transport in synapse,2,biological_process
Alpha-n-acetylneuraminate alpha-2,5,molecular_function
Dynein light chain binding,8,molecular_function
Lipid hydroxylation,4,biological_process
Positive regulation of vascular associated smooth muscle cell migration,7,biological_process
